county,year,minTemperature,maxTemperature,windSpeed,pressure,humidity,summary,visibility,cloudCover
Dublin,2004,4.68,8.07,7.63,1010.29,0.8,Mostly cloudy throughout the day.,null,0.76
Dublin,2005,2.37,11.04,9.21,1012.04,0.84,Windy and mostly cloudy until evening.,null,0.69
Dublin,2006,3.49,8.38,6.17,1009.67,0.83,Mostly cloudy until evening.,null,0.63
Dublin,2007,3.76,6.24,9,1011.33,0.82,Partly cloudy throughout the day.,9.88,0.5
Dublin,2008,8.15,11.62,3.21,1017.64,0.84,Mostly cloudy throughout the day.,10.01,0.82
Dublin,2009,2.98,4.61,3.49,1029.19,0.89,Mostly cloudy throughout the day.,9.3,0.83
Dublin,2010,-3.46,0.56,2.79,1010.91,0.92,Snow (1–3 cm.) until afternoon.,9.54,0.5
Dublin,2011,3.52,8.27,1.95,1028.12,0.84,Mostly cloudy throughout the day.,9.38,0.81
Dublin,2012,3.12,10.13,7.05,997.67,0.8,Light rain in the morning and overnight.,10.01,0.51
Dublin,2013,2.78,6.94,7.09,1008.78,0.84,Mostly cloudy throughout the day.,10.01,0.51
Dublin,2014,5.04,10.52,3.41,979.69,0.86,Rain until afternoon.,9.56,0.72
Dublin,2015,8.98,14.52,8.58,1013.41,0.81,Mostly cloudy throughout the day and windy starting in the afternoon.,9.9,0.75
Dublin,2016,1.29,9.02,5.09,1007.38,0.83,Rain in the afternoon and evening.,9.69,0.67
Dublin,2017,2.42,6.19,3.67,1013.45,0.82,Mostly cloudy throughout the day.,9.93,0.57
Dublin,2018,4.58,8.29,6.62,997.28,0.79,Mostly cloudy throughout the day.,9.93,0.59
Clare,2000,0.95,8.47,2.81,1022.69,0.93,Mostly cloudy throughout the day.,null,0.51
Clare,2001,6.36,10.26,6.09,971.49,0.89,Mostly cloudy throughout the day.,null,0.81
Clare,2002,-0.93,7.51,6.33,1028.78,0.8,Mostly cloudy throughout the day.,null,0.59
Clare,2003,7.26,10.77,3.02,989.87,0.96,Mostly cloudy throughout the day.,null,0.79
Clare,2004,5.96,9.27,6.77,1015.04,0.79,Mostly cloudy throughout the day.,null,0.71
Clare,2005,3.06,10.96,7.56,1014.32,0.79,Mostly cloudy throughout the day and windy in the afternoon.,null,0.64
Clare,2006,4.57,8.76,6.26,1013.75,0.77,Mostly cloudy throughout the day.,null,0.69
Clare,2007,4.96,7.97,6.96,1014.55,0.83,Mostly cloudy throughout the day.,9.54,0.65
Clare,2008,8.97,10.96,5.44,1014.53,0.84,Mostly cloudy throughout the day.,10.01,0.75
Clare,2009,2.96,5.96,4.77,1026.51,0.79,Mostly cloudy throughout the day.,7.5,0.73
Clare,2010,-5.03,0.95,0.47,1012.43,0.96,Foggy starting in the afternoon.,5.66,0.37
Clare,2011,4.96,7.97,1.23,1029.23,0.92,Mostly cloudy throughout the day.,9.38,0.86
Clare,2012,3.44,9.85,4.54,998.69,0.84,Light rain starting in the afternoon, continuing until evening.,10.01,0.54
Clare,2013,3.31,8.18,3.65,1011.55,0.83,Mostly cloudy throughout the day.,10.01,0.65
Clare,2014,3.97,6.96,0.7,979.13,0.93,Foggy until afternoon.,9.25,0.73
Clare,2015,7.97,13.96,6.25,1014.65,0.88,Mostly cloudy throughout the day and windy starting in the afternoon.,9.41,0.8
Clare,2016,0.95,9.96,7.59,1001.69,0.89,Mostly cloudy throughout the day and windy in the afternoon.,10.01,0.71
Clare,2017,1.96,5.96,5.37,1013.27,0.85,Mostly cloudy starting in the evening.,10.01,0.45
Clare,2018,3.97,8.97,5.57,1000.92,0.82,Mostly cloudy throughout the day.,9.77,0.57
Monaghan,2000,2.15,7.18,4.42,1020.73,0.88,Mostly cloudy throughout the day.,null,0.81
Monaghan,2001,6.26,9.81,6.06,973.7,0.86,Mostly cloudy throughout the day.,null,0.74
Monaghan,2002,-4.11,6.05,2.24,1032.5,0.84,Mostly cloudy starting in the evening.,null,0.48
Monaghan,2003,7.49,10.5,2.14,988.34,0.95,Mostly cloudy throughout the day.,null,0.78
Monaghan,2004,4.37,8.02,7.26,1009.44,0.8,Breezy in the morning and mostly cloudy throughout the day.,null,0.6
Monaghan,2005,1.78,8.96,5.99,1009.47,0.88,Mostly cloudy throughout the day.,null,0.78
Monaghan,2006,4.68,8.03,4.97,1009.08,0.84,Mostly cloudy throughout the day.,null,0.57
Monaghan,2007,3.19,5.28,5.61,1008.91,0.86,Mostly cloudy throughout the day.,null,0.71
Monaghan,2008,7.47,10.96,4.03,1016.56,0.9,Mostly cloudy throughout the day.,null,0.8
Monaghan,2009,-0.55,1.92,1.69,1030.23,0.92,Mostly cloudy throughout the day.,null,0.72
Monaghan,2010,-4.02,1.43,2.33,1011.15,0.89,Mostly cloudy throughout the day.,null,0.72
Monaghan,2011,2.24,6.31,2.19,1028.2,0.92,Mostly cloudy throughout the day.,null,0.72
Monaghan,2012,1.98,7.88,5.76,994.88,0.85,Mostly cloudy throughout the day.,null,0.72
Monaghan,2013,2.38,6.91,4.01,1006.89,0.87,Mostly cloudy throughout the day.,null,0.72
Monaghan,2014,2.46,6.14,1.12,978.68,0.94,Mostly cloudy throughout the day.,null,0.72
Monaghan,2015,6.82,13.5,6.27,1010.68,0.91,Mostly cloudy throughout the day.,null,0.72
Monaghan,2016,0.09,7.89,6.12,1006.73,0.87,Light rain in the afternoon and evening and breezy starting in the afternoon, continuing until evening.,null,0.72
Monaghan,2017,2.18,6.49,2.36,1012.4,0.88,Mostly cloudy throughout the day.,null,0.72
Monaghan,2018,3.31,6.98,4.56,994.49,0.57,Mostly cloudy throughout the day.,null,0.72
Tipperary,2000,3.56,8.03,2.28,1011.98,0.88,Mostly cloudy throughout the day.,null,0.74
Tipperary,2001,3.54,8.02,2.29,1012.01,0.88,Mostly cloudy throughout the day.,null,0.74
Tipperary,2002,3.54,8.03,2.29,1012,0.88,Mostly cloudy throughout the day.,null,0.74
Tipperary,2003,3.55,8.03,2.28,1011.99,0.88,Mostly cloudy throughout the day.,null,0.74
Tipperary,2004,3.56,8.03,2.28,1011.98,0.88,Mostly cloudy throughout the day.,null,0.74
Tipperary,2005,3.54,8.02,2.29,1012.01,0.88,Mostly cloudy throughout the day.,null,0.74
Tipperary,2006,3.54,8.02,2.29,1012,0.88,Mostly cloudy throughout the day.,null,0.74
Tipperary,2007,3.55,8.03,2.28,1011.99,0.88,Mostly cloudy throughout the day.,null,0.74
Tipperary,2008,3.55,8.03,2.28,1011.99,0.88,Mostly cloudy throughout the day.,null,0.74
Tipperary,2009,3.54,8.02,2.29,1012.01,0.88,Mostly cloudy throughout the day.,null,0.74
Tipperary,2010,3.54,8.02,2.29,1012,0.88,Mostly cloudy throughout the day.,null,0.74
Tipperary,2011,3.55,8.03,2.29,1011.99,0.88,Mostly cloudy throughout the day.,null,0.74
Tipperary,2012,1.94,9.71,0.09,1011.99,0.87,Light rain starting in the afternoon, continuing until evening.,null,0.74
Tipperary,2013,3.54,8.02,2.29,1012.01,0.88,Mostly cloudy throughout the day.,null,0.74
Tipperary,2014,3.54,8.02,2.29,1012,0.88,Mostly cloudy throughout the day.,null,0.74
Tipperary,2015,3.54,8.03,2.29,1011.99,0.88,Mostly cloudy throughout the day.,null,0.74
Tipperary,2016,3.55,8.03,2.28,1011.99,0.88,Mostly cloudy throughout the day.,null,0.74
Tipperary,2017,3.54,8.02,2.29,1012.01,0.88,Mostly cloudy throughout the day.,null,0.74
Tipperary,2018,3.54,8.02,2.29,1012,0.88,Mostly cloudy throughout the day.,null,0.74
Galway,2000,2.91,9.12,4.32,1018.93,0.87,Mostly cloudy throughout the day.,null,0.71
Galway,2001,3.96,9.72,4.27,977.38,0.89,Mostly cloudy throughout the day.,null,0.71
Galway,2002,-6.27,7.61,3.83,1026.62,0.86,Mostly cloudy throughout the day.,null,0.71
Galway,2003,7.09,11.12,2.17,988.8,0.95,Mostly cloudy throughout the day.,null,0.71
Galway,2004,4.72,9.07,5.89,1013.44,0.75,Mostly cloudy throughout the day.,null,0.71
Galway,2005,3.41,10.01,4.33,1010.7,0.85,Mostly cloudy throughout the day and windy in the evening.,null,0.71
Galway,2006,3.91,8.22,4.84,1012.53,0.85,Mostly cloudy throughout the day.,null,0.71
Galway,2007,3.51,6.52,5.93,1011.37,0.8,Mostly cloudy throughout the day.,null,0.71
Galway,2008,7.02,11.52,3.82,1014.54,0.89,Mostly cloudy throughout the day.,null,0.71
Galway,2009,2.23,3.41,4.85,1028.27,0.86,Mostly cloudy throughout the day.,null,0.71
Galway,2010,-5.09,2.01,1.67,1012.52,0.92,Mostly cloudy throughout the day.,null,0.71
Galway,2011,2.12,8.32,1.57,1029.43,0.9,Mostly cloudy throughout the day.,null,0.71
Galway,2012,2.12,8.32,5.06,995.68,0.8,Mostly cloudy throughout the day.,null,0.71
Galway,2013,4.31,9.05,1.11,1010.31,0.78,Mostly cloudy throughout the day.,null,0.71
Galway,2014,3.71,5.82,1.01,978.86,0.91,Mostly cloudy throughout the day.,null,0.71
Galway,2015,3.85,12.51,2.14,1010.76,0.88,Mostly cloudy throughout the day.,null,0.71
Galway,2016,0.81,8.62,5.87,1002.75,0.88,Mostly cloudy throughout the day.,null,0.71
Galway,2017,2.41,7.64,1.8,1012.41,0.87,Mostly cloudy throughout the day.,null,0.71
Galway,2018,3.61,8.62,4.61,998.39,0.77,Mostly cloudy throughout the day.,null,0.71
Limerick,2000,1.03,8.54,2.81,1022.69,0.93,Mostly cloudy throughout the day.,null,0.52
Limerick,2001,6.43,10.34,6.09,971.49,0.89,Mostly cloudy throughout the day.,null,0.81
Limerick,2002,-0.85,7.6,6.33,1028.8,0.8,Mostly cloudy throughout the day.,null,0.59
Limerick,2003,7.34,10.85,3.19,989.95,0.95,Mostly cloudy throughout the day.,null,0.8
Limerick,2004,6.04,9.35,7.12,1015.12,0.79,Mostly cloudy throughout the day.,null,0.72
Limerick,2005,3.14,11.04,7.56,1014.32,0.78,Mostly cloudy throughout the day and windy starting in the afternoon, continuing until evening.,null,0.64
Limerick,2006,4.64,8.84,6.26,1013.76,0.77,Mostly cloudy throughout the day.,null,0.7
Limerick,2007,5.04,8.04,6.96,1014.55,0.82,Mostly cloudy throughout the day.,9.54,0.65
Limerick,2008,9.04,11.04,5.44,1014.53,0.84,Mostly cloudy throughout the day.,10.01,0.75
Limerick,2009,3.04,6.04,4.77,1026.51,0.79,Mostly cloudy throughout the day.,7.5,0.73
Limerick,2010,-4.95,1.03,0.47,1012.43,0.95,Foggy starting in the afternoon.,5.66,0.37
Limerick,2011,5.04,8.04,1.23,1029.23,0.91,Mostly cloudy throughout the day.,9.38,0.86
Limerick,2012,3.16,9.86,2.9,998.69,0.84,Light rain starting in the afternoon, continuing until evening.,10.01,0.54
Limerick,2013,3.04,8.04,4.46,1011.84,0.84,Mostly cloudy throughout the day.,10.01,0.65
Limerick,2014,4.05,7.04,0.7,979.13,0.92,Foggy until afternoon.,9.25,0.73
Limerick,2015,8.04,14.04,6.25,1014.65,0.87,Mostly cloudy throughout the day and windy starting in the afternoon.,9.41,0.8
Limerick,2016,1.03,10.04,7.59,1001.69,0.88,Mostly cloudy throughout the day and windy in the morning.,10.01,0.71
Limerick,2017,2.04,6.04,5.37,1013.52,0.84,Mostly cloudy starting in the evening.,10.01,0.45
Limerick,2018,4.05,9.04,5.57,1000.92,0.81,Mostly cloudy throughout the day.,9.77,0.57
Roscommon,2000,2.74,7.08,2.28,1010.99,0.91,Mostly cloudy throughout the day.,null,0.73
Roscommon,2001,2.73,7.07,2.28,1011.02,0.91,Mostly cloudy throughout the day.,null,0.73
Roscommon,2002,2.73,7.07,2.28,1011.01,0.91,Mostly cloudy throughout the day.,null,0.73
Roscommon,2003,2.73,7.07,2.28,1011,0.91,Mostly cloudy throughout the day.,null,0.73
Roscommon,2004,2.74,7.08,2.28,1010.99,0.91,Mostly cloudy throughout the day.,null,0.73
Roscommon,2005,2.73,7.07,2.28,1011.02,0.91,Mostly cloudy throughout the day.,null,0.73
Roscommon,2006,2.73,7.07,2.28,1011.01,0.91,Mostly cloudy throughout the day.,null,0.73
Roscommon,2007,2.73,7.07,2.28,1011,0.91,Mostly cloudy throughout the day.,null,0.73
Roscommon,2008,2.74,7.08,2.28,1011,0.91,Mostly cloudy throughout the day.,null,0.73
Roscommon,2009,2.73,7.07,2.28,1011.02,0.91,Mostly cloudy throughout the day.,null,0.73
Roscommon,2010,2.73,7.07,2.28,1011.01,0.91,Mostly cloudy throughout the day.,null,0.73
Roscommon,2011,2.73,7.07,2.28,1011,0.91,Mostly cloudy throughout the day.,null,0.73
Roscommon,2012,1.08,7.17,3.42,1011,0.94,Light rain starting in the afternoon, continuing until evening.,null,0.73
Roscommon,2013,2.12,7.67,2.82,1011.02,0.93,Mostly cloudy throughout the day.,null,0.73
Roscommon,2014,2.61,5.39,1.01,1011.01,0.96,Heavy rain until afternoon.,null,0.73
Roscommon,2015,3.22,12.73,6.65,1011.01,0.95,Heavy rain starting in the afternoon and windy in the evening.,null,0.73
Roscommon,2016,-0.04,7.74,3.18,1011,0.88,Mostly cloudy throughout the day.,null,0.73
Roscommon,2017,1.61,7.17,6.16,1011.02,0.88,Light rain in the morning and afternoon and windy starting in the afternoon, continuing until evening.,null,0.73
Roscommon,2018,3.28,8.28,4.56,1011.01,0.95,Rain in the morning.,null,0.73
Kildare,2000,1.98,7.89,4.88,1022.6,0.88,Partly cloudy starting in the afternoon.,null,0.27
Kildare,2001,7.39,10.08,7.89,975.01,0.85,Mostly cloudy throughout the day.,null,0.56
Kildare,2002,-4.43,6.78,2.91,1032.64,0.83,Partly cloudy in the afternoon.,null,0.25
Kildare,2003,2.79,11.38,3.79,990.07,0.94,Mostly cloudy throughout the day.,null,0.89
Kildare,2004,3.88,7.79,7.47,1010.56,0.84,Mostly cloudy throughout the day.,null,0.8
Kildare,2005,1.69,10.18,10.16,1012.01,0.88,Windy and mostly cloudy until evening.,null,0.71
Kildare,2006,2.88,7.79,5.23,1009.83,0.88,Mostly cloudy until evening.,null,0.62
Kildare,2007,3.08,5.49,8.15,1011.69,0.85,Mostly cloudy throughout the day.,null,0.49
Kildare,2008,7.09,11.29,3.29,1017.54,0.85,Mostly cloudy throughout the day.,null,0.91
Kildare,2009,0.69,3.61,2.28,1028.93,0.94,Mostly cloudy throughout the day.,null,0.91
Kildare,2010,-3.45,0.11,0.72,1011.39,0.96,Partly cloudy throughout the day.,null,0.51
Kildare,2011,2.92,7,0.76,1028.37,0.95,Mostly cloudy throughout the day.,null,0.88
Kildare,2012,2.54,9.42,5.04,998.39,0.86,Mixed precipitation overnight.,null,0.46
Kildare,2013,2.25,6.42,5.06,1009.59,0.86,Mostly cloudy throughout the day.,null,0.52
Kildare,2014,4.22,9.97,3.3,979.8,0.92,Mostly cloudy throughout the day.,9.72,0.68
Kildare,2015,8.45,13.49,8.68,1014.6,0.88,Windy and mostly cloudy throughout the day.,9.88,0.76
Kildare,2016,0.97,8.74,5.18,1007.1,0.88,Rain in the afternoon and evening.,9.41,0.68
Kildare,2017,2.04,6.01,3.17,1013.21,0.85,Mostly cloudy starting in the afternoon.,9.83,0.54
Kildare,2018,4.4,7.92,4.65,997.62,0.8,Mostly cloudy throughout the day.,10.01,0.58
Offaly,2000,1.39,7.31,2.81,1022.44,0.9,Mostly cloudy starting in the afternoon.,null,0.62
Offaly,2001,6.91,9.87,5.79,973.26,0.87,Mostly cloudy throughout the day.,null,0.77
Offaly,2002,-6.29,6.76,3.61,1031.4,0.83,Partly cloudy throughout the day.,null,0.51
Offaly,2003,8.38,10.47,2.78,988.84,0.94,Mostly cloudy throughout the day.,null,0.82
Offaly,2004,3.68,8.03,5.44,1012.09,0.79,Partly cloudy throughout the day.,null,0.54
Offaly,2005,2.36,9.64,5.11,1012.44,0.86,Mostly cloudy throughout the day.,null,0.73
Offaly,2006,4.47,8.02,4.11,1011.26,0.85,Mostly cloudy throughout the day.,null,0.75
Offaly,2007,3.61,5.83,4.3,1012.22,0.85,Mostly cloudy throughout the day.,null,0.72
Offaly,2008,7.38,11.18,4.12,1016.32,0.89,Mostly cloudy throughout the day.,null,0.79
Offaly,2009,1.4,3.48,2.78,1028.47,0.9,Mostly cloudy throughout the day.,null,0.74
Offaly,2010,-4.26,0.81,0.63,1011.83,0.94,Mostly cloudy throughout the day.,null,0.72
Offaly,2011,2.21,6.71,0.79,1028.71,0.92,Mostly cloudy throughout the day.,null,0.72
Offaly,2012,2.47,8.78,4.46,997.19,0.88,Mixed precipitation starting in the afternoon.,null,0.72
Offaly,2013,2.06,7.09,3.03,1009.59,0.84,Mostly cloudy throughout the day.,null,0.72
Offaly,2014,3.32,6.88,1.37,978.9,0.91,Rain until afternoon, starting again overnight.,null,0.72
Offaly,2015,7.3,13.67,5.9,1013.22,0.87,Rain until afternoon, starting again in the evening.,null,0.72
Offaly,2016,0.31,8.49,5.2,1005.12,0.87,Rain throughout the day and windy in the afternoon.,null,0.72
Offaly,2017,1.9,6.33,3.86,1013.34,0.86,Mostly cloudy throughout the day.,null,0.72
Offaly,2018,3.19,7.87,4.42,998.25,0.82,Mostly cloudy throughout the day.,null,0.72
Leitrim,2000,3.14,8.5,4.65,1020.16,0.86,Mostly cloudy throughout the day.,null,0.62
Leitrim,2001,5.63,8.51,6.45,970.93,0.88,Mostly cloudy throughout the day and breezy in the evening.,null,0.82
Leitrim,2002,-3.55,6.19,5.7,1029.64,0.83,Partly cloudy throughout the day.,null,0.31
Leitrim,2003,3,10.43,2.56,988.56,0.92,Mostly cloudy throughout the day.,null,0.92
Leitrim,2004,4.37,8.43,8.39,1012.62,0.77,Mostly cloudy throughout the day.,null,0.8
Leitrim,2005,2.45,9.53,7.39,1010.32,0.84,Mostly cloudy throughout the day and windy in the morning.,null,0.83
Leitrim,2006,3.93,7.54,6.11,1012.22,0.84,Mostly cloudy throughout the day and windy in the morning.,null,0.75
Leitrim,2007,3.93,5.93,6.83,1010.91,0.81,Mostly cloudy throughout the day and windy overnight.,10.01,0.63
Leitrim,2008,6.63,11.03,5.81,1014.68,0.9,Foggy in the morning.,7.89,0.81
Leitrim,2009,1.53,2.93,5.95,1028.57,0.91,Foggy until afternoon.,4.76,0.99
Leitrim,2010,-1.65,1.92,1.8,1012.68,0.85,Mostly cloudy overnight.,10.01,0.44
Leitrim,2011,2.48,7.62,1.02,1029.6,0.91,Drizzle starting in the afternoon, continuing until evening.,6.08,0.78
Leitrim,2012,1.62,7.37,2.25,995.39,0.9,Light rain until evening.,10.01,0.68
Leitrim,2013,2.29,7.7,4.83,1008.16,0.9,Mostly cloudy throughout the day.,10.01,0.67
Leitrim,2014,2.5,5.53,0.97,979.86,0.94,Heavy rain in the morning and afternoon.,8.64,0.8
Leitrim,2015,5.18,13.36,7.03,1010.38,0.94,Heavy rain starting in the evening and windy in the evening.,8.29,0.85
Leitrim,2016,0.26,7.89,6.25,1004.42,0.9,Mostly cloudy throughout the day and breezy starting in the afternoon, continuing until evening.,9.43,0.8
Leitrim,2017,1.57,6.76,5.79,1012.27,0.86,Partly cloudy in the morning.,10.01,0.4
Leitrim,2018,3.2,7.47,4.47,996.52,0.86,Light rain in the morning.,9.93,0.64
Cork,2000,3.79,8.7,1.73,1024.04,0.88,Mostly cloudy throughout the day.,null,0.58
Cork,2001,7.09,10.5,7.06,973.31,0.87,Mostly cloudy throughout the day.,null,0.85
Cork,2002,3.79,7.72,8.78,1029.02,0.65,Mostly cloudy throughout the day and windy in the evening.,null,0.67
Cork,2003,7.04,11.3,4.26,990.33,0.92,Mostly cloudy throughout the day.,null,0.85
Cork,2004,6.64,8.76,9.96,1014.78,0.74,Windy until afternoon and mostly cloudy throughout the day.,null,0.62
Cork,2005,3.59,11.7,7.48,1016.92,0.84,Mostly cloudy throughout the day and windy until afternoon.,null,0.79
Cork,2006,6.77,8.39,9.07,1013.41,0.78,Windy in the morning and mostly cloudy throughout the day.,null,0.76
Cork,2007,4.95,7.26,5.4,1016.58,0.79,Light rain until evening, starting again overnight.,10.01,0.58
Cork,2008,9.04,10.94,7.12,1015.5,0.88,Light rain in the afternoon and overnight.,9.27,0.75
Cork,2009,5.11,7.24,5.7,1025.78,0.83,Mostly cloudy throughout the day.,7.05,0.79
Cork,2010,-2.75,2.21,3.73,1011.57,0.88,Foggy starting in the evening.,7.98,0.25
Cork,2011,5.35,7.09,1.82,1028.66,0.87,Mostly cloudy throughout the day.,8.92,0.82
Cork,2012,3.66,10.78,6.65,1000.93,0.84,Windy in the morning and light rain overnight.,9.88,0.49
Cork,2013,3.51,7.61,4.47,1013.17,0.83,Mostly cloudy throughout the day.,10.01,0.67
Cork,2014,5.79,10.65,4,979.47,0.89,Mostly cloudy throughout the day and windy in the morning.,8.67,0.71
Cork,2015,9.8,13.8,9.16,1017.5,0.93,Windy until evening and foggy in the afternoon.,7.19,0.84
Cork,2016,1.78,10.79,8.97,1001.16,0.9,Windy until evening and foggy overnight.,8.56,0.74
Cork,2017,2.79,8.8,7.39,1014.4,0.79,Partly cloudy in the morning.,10.01,0.4
Cork,2018,3.73,9.51,4.4,1002.49,0.83,Mostly cloudy overnight.,9.75,0.49
Wexford,2000,4.01,9.62,1.23,1023.79,0.91,Mostly cloudy starting in the afternoon.,null,0.3
Wexford,2001,8.82,10.71,8.99,976.77,0.89,Mostly cloudy throughout the day.,null,0.59
Wexford,2002,4.72,7.83,6.37,1032.11,0.65,Mostly cloudy throughout the day.,null,0.36
Wexford,2003,5.02,11.51,3.98,991.13,0.95,Mostly cloudy throughout the day.,null,0.8
